constraint,length,d4py_real,asp_real,d4py_memo,asp_memo
response,50,12.377666711807251,5.749094247817993,296.05078125,198.3671875
response,100,17.12718391418457,9.475035190582275,418.328125,259.50390625
response,250,32.588977098464966,20.577635765075684,782.828125,436.90625
response,500,61.98365521430969,39.89017724990845,1289.234375,788.28515625
response,750,90.22706460952759,60.861398696899414,1914.98828125,1190.25390625
response,1000,119.32076358795166,80.47817826271057,2525.97265625,1453.30078125
precedence,50,9.42622447013855,5.698309898376465,297.265625,192.09375
precedence,100,17.013238430023193,9.429490804672241,411.15234375,251.46875
precedence,250,32.5956974029541,20.5496244430542,730.0859375,448.390625
precedence,500,63.04757905006409,41.006850242614746,1300.65234375,750.83984375
precedence,750,91.38489556312561,58.408788204193115,1905.0546875,1208.8515625
precedence,1000,123.18419933319092,80.37084174156189,2564.421875,1534.65234375
alternate_precedence,50,9.180313110351562,5.694221496582031,298.86328125,183.7265625
alternate_precedence,100,15.08338451385498,14.801663637161255,411.359375,583.1796875
alternate_precedence,250,32.80432343482971,20.534273147583008,780.07421875,438.71875
alternate_precedence,500,61.89739680290222,41.117417097091675,1288.796875,806.89453125
alternate_precedence,750,87.61380934715271,60.81717896461487,1904.61328125,1101.3359375
alternate_precedence,1000,120.54603338241577,79.25542545318604,2525.7109375,1567.46875
alternate_response,50,9.854989290237427,5.979396104812622,297.5859375,235.015625
alternate_response,100,14.522859334945679,10.157480716705322,411.234375,253.4375
alternate_response,250,33.732059717178345,21.169183492660522,732.46875,440.53125
alternate_response,500,61.05371809005737,42.44981002807617,1356.74609375,782.7109375
alternate_response,750,87.9225344657898,59.568461179733276,1904.61328125,1153.08984375
alternate_response,1000,116.23920893669128,79.46279668807983,2525.25,1500.79296875
chain_precedence,50,9.208000659942627,5.7183098793029785,300.88671875,183.078125
chain_precedence,100,15.127446174621582,9.488723039627075,411.4765625,246.8125
chain_precedence,250,32.65786004066467,21.24012517929077,785.21875,431.765625
chain_precedence,500,62.262747049331665,39.91600942611694,1351.3046875,834.04296875
chain_precedence,750,91.3652081489563,59.775694608688354,1904.6875,1066.01171875
chain_precedence,1000,119.95023584365845,80.31985783576965,2555.11328125,1488.68359375
chain_response,50,9.137444496154785,5.680811166763306,294.4140625,192.484375
chain_response,100,14.729668855667114,9.5932457447052,404.53125,248.58984375
chain_response,250,32.891873836517334,21.220242500305176,772.53125,435.84765625
chain_response,500,60.89780354499817,39.989450454711914,1288.28125,796.234375
chain_response,750,87.06243896484375,59.72081995010376,1963.640625,1139.83984375
chain_response,1000,120.21942782402039,78.76902031898499,2515.046875,1423.890625
